home_teams,away_teams
qatar,ecuador
senegal,netherlands
england,iran
usa,wales
france,australia
denmark,tunisia
mexico,poland
argentina,saudi arabia
belgium,canada
spain,costa rica
germany,japan
morocco,croatia
switzerland,cameroon
uruguay,korea republic
portugal,ghana
brazil,serbia
wales,iran
qatar,senegal
netherlands,ecuador
england,usa
tunisia,australia
poland,saudi arabia
france,denmark
argentina,mexico
japan,costa rica
belgium,morocco
croatia,canada
spain,germany
cameroon,serbia
korea republic,ghana
brazil,switzerland
portugal,uruguay
wales,england
iran,usa
ecuador,senegal
netherlands,qatar
australia,denmark
tunisia,france
poland,argentina
saudi arabia,mexico
croatia,belgium
canada,morocco
japan,spain
costa rica,germany
ghana,uruguay
korea republic,portugal
serbia,switzerland
cameroon,brazil